Source,Destination,Weight
javier hernandez,MANCHESTER ENGLAND,4.0
osvaldo canziani,TUNISIA,1.0
ceiron thomas,LONDON ENGLAND,1.0
james earl,UNITED STATES,1.0
abu obayda,EGYPT,2.0
mich le alliot-marie,ISRAEL,1.0
qasim hashim,EGYPT,1.0
jan 4season,LONDON ENGLAND,1.0
mrjamie bowden,BAHRAIN,1.0
louis copeland,UNITED STATES,3.0
andy farrell,CAIRO EGYPT,4.0
ronald reagan,EGYPT,3.0
ban ki moon,YEMEN,1.0
abdelhamid abou zeid,FRANCE,1.0
ritchie de laet,ARGENTINA,1.0
vincent meriton,SOMALIA,1.0
catherine ashtonmet,EGYPT,1.0
nicolas sarkozyof,TUNISIA,11.0
stephen timms,UNITED KINGDOM,1.0
victor ikpeba,BELGIUM,1.0
akhbar al arab,UNITED ARAB EMIRATES,1.0
asoka giriyagama,SRI LANKA,1.0
bob dietz,PAKISTAN,1.0
andrew azazi,EGYPT,2.0
jussi pajunenand ari wiseman,HELSINKI FINLAND,1.0
alejandro falla,INDIA,1.0
judy zint,TUNISIA,1.0
marcustulio tanaka,JAPAN,1.0
bertil hult,LONDON ENGLAND,1.0
york sarah ferguson,INDIA,1.0
nabih birrireceived,LEBANON,1.0
fasken martineau dumoulin,CANADA,3.0
muhyeddine khatib,LEBANON,1.0
choi bok eum,MALAYSIA,2.0
abdelaziz bouteflikais,ALGERIA,11.0
mark renshaw,UNITED STATES,1.0
david fincher,UNITED KINGDOM,2.0
sa 'd al-hariri,LEBANON,9.0
khaled mahmoud,LIBYAN ARAB JAMAHIRIYA,1.0
sameh fahmi,IRAQ,1.0
gawad mohamed,NIGERIA,2.0
samir franjiyah,LEBANON,2.0
ahmad urabi,EGYPT,1.0
javier hernandez,UNITED ARAB EMIRATES,1.0
william mack,ISRAEL,1.0
harun tahlak,DUBAI UNITED ARAB EMIRATES,3.0
ben mendelsohn,AUSTRALIA,1.0
abdorrahim ayubi,AFGHANISTAN,1.0
eleanor millsfinds,ENGLAND,1.0
al habsi,BRAZIL,1.0
craig mottram,AUSTRALIA,1.0
methat taher,PALESTINIAN TERRITORY OCCUPIED,1.0
mohammad baqer nowbakht,IRAN ISLAMIC REPUBLIC OF,1.0
steve dub,UNITED STATES,1.0
julia reidhead,UNITED STATES,1.0
cara rain,UNITED STATES,3.0
michelle ziemba,UNITED STATES,1.0
elxan poluxov,EGYPT,1.0
susie mckenna,LONDON ENGLAND,1.0
miron bleiberg,QUEENSLAND AUSTRALIA,1.0
ben alihad,TUNISIA,11.0
bora milutinovic,CHINA,2.0
mohammad asifand mohammad aamir,NEW ZEALAND,2.0
sam smithensuring,UNITED ARAB EMIRATES,2.0
blind buddymoody,UNITED STATES,1.0
abu dhabi golf martin,UNITED KINGDOM,2.0
gulab mangal,UNITED STATES,1.0
david walgren,NORTHERN IRELAND,1.0
hatim abd al-qadir,ISRAEL,1.0
emad el-dinshahin,EGYPT,1.0
barack obama inwashington,UNITED ARAB EMIRATES,1.0
tony blairand george bush,UNITED STATES,20.0
