Source,Destination,Weight
INDUSTRY ANALYSTS,BEIRUT LEBANON,1.0
AUTOMOTIVE FUELS,SAUDI ARABIA,1.0
FOOD PRICES,KENYA,6.0
MOVIE & VIDEO PRODUCTION,UNITED STATES,2.0
URANIUM MINING,NORTHERN TERRITORY AUSTRALIA,1.0
MUSICAL INSTRUMENTS,AUSTRALIA,3.0
AVIATION SECURITY,NIGERIA,3.0
ENDOWMENTS,NIGERIA,2.0
PUBLIC DEBT,POLAND,1.0
WEATHER,AFGHANISTAN,3.0
WINTER SPORTS,ISRAEL,1.0
FESTIVALS,CHILE,2.0
CRUDE OIL MARKETS,UNITED STATES,9.0
CONTROLLED SUBSTANCE LAWS,UNITED STATES,1.0
ATHLETES,HAWAII USA,2.0
EASTER SEASON,EASTERN AFRICA,2.0
INTERNATIONAL COURTS & TRIBUNALS,TURKEY,3.0
NATURAL GAS EXTRACTION,ALGERIA,4.0
EXPORT TRADE,THAILAND,6.0
WINE,HAITI,1.0
EURO ZONE,EGYPT,1.0
KIDNAPPING & ABDUCTION,SUDAN,1.0
COLLEGES & UNIVERSITIES,KAMPALA UGANDA,2.0
ECONOMIC NEWS,JAPAN,5.0
CITIZENSHIP LAW,UNITED STATES,2.0
NUCLEAR ENERGY,TUNISIA,2.0
BOOKSTORES,ITALY,1.0
PERSONAL DEBT,TURKEY,1.0
MARINE SHIPPING,MALAYSIA,1.0
POPULATION SIZE,CHINA,1.0
EMBARGOES & SANCTIONS,KASHMIR,1.0
FLEET MANAGEMENT,AFGHANISTAN,1.0
ARCHAEOLOGY,AFRICA,6.0
MYSTERY & SUSPENSE FILMS,UNITED STATES,3.0
ATTORNEYS GENERAL,IRAN ISLAMIC REPUBLIC OF,1.0
LOCAL TELEVISION STATIONS,IRAQ,2.0
CORONERS COURTS & OFFICES,MOROCCO,1.0
TOURNAMENTS,BRAZIL,8.0
IMMUNOLOGY,EGYPT,2.0
SAVINGS & LOANS,OMAN,1.0
WORLD WAR I,UNITED KINGDOM,1.0
STADIUMS & ARENAS,CATALONIA SPAIN,1.0
MILITARY WEAPONS,NORTHERN AFRICA,3.0
HORROR FILMS,EGYPT,1.0
MARINE PASSENGER TRANSPORT,UNITED KINGDOM,2.0
SECONDARY SCHOOLS,SOUTH AFRICA,2.0
PRICE INCREASES,TAIWAN PROVINCE OF CHINA,2.0
SCIENCE NEWS,NORTHERN IRELAND,1.0
SPORTS GOVERNING BODIES,EUROPE,1.0
WALKING & JOGGING,EUROPE,1.0
WOUNDS & INJURIES,WELLINGTON NEW ZEALAND,1.0
PUBLIC FINANCE AGENCIES & TREASURIES,IRAQ,9.0
MERCHANT BANKING,RUSSIAN FEDERATION,1.0
FOUNDATIONS,TEXAS USA,2.0
COLD WAR,KENYA,1.0
EDUCATION DEPARTMENTS,UNITED KINGDOM,5.0
INTERNATIONAL TRADE LAW,OMAN,1.0
REGIONAL & LOCAL GOVERNMENTS,HELSINKI FINLAND,2.0
CURRENT ACCOUNT BALANCE,CANADA,1.0
ASSAULT & BATTERY,AFGHANISTAN,2.0
PUBLIC BROADCASTING,CHINA,1.0
SUBSTANCE ABUSE,LIBYAN ARAB JAMAHIRIYA,1.0
PUBLIC HEALTH ADMINISTRATION,TUNISIA,2.0
GASOLINE PRICES,CHINA,4.0
SCIENCE & TECHNOLOGY,TEXAS USA,2.0
INTELLIGENCE SERVICES,UNITED ARAB EMIRATES,3.0
CONSULTING SERVICES,UNITED KINGDOM,1.0
MONEY LAUNDERING,SPAIN,2.0
POVERTY & HOMELESSNESS,AUSTRALIA,1.0
SPORTS GOVERNING BODIES,ARGENTINA,1.0
SEXUAL ASSAULT,KOREA REPUBLIC OF,1.0
SCIENCE FICTION & FANTASY FILMS,IRAQ,2.0
